Area Name,Year,Month,Adjusted,LaborForce,Employed,Unemployed,Unemployment Rate(%),Labor Force Participation Rate(%),Employment to Population Rate(%)
Gaston County,2020,00,Not Seasonally Adjusted,106574,98193,8381,7.9,,
Gaston County,2021,00,Not Seasonally Adjusted,109532,103827,5705,5.2,,
Gaston County,2022,00,Not Seasonally Adjusted,114660,110448,4212,3.7,,
Gates County,2017,00,Not Seasonally Adjusted,5205,4975,230,4.4,,
Gates County,2018,00,Not Seasonally Adjusted,5238,5026,212,4.0,,
Gates County,2019,00,Not Seasonally Adjusted,5250,5041,209,4.0,,
Gates County,2020,00,Not Seasonally Adjusted,4871,4596,275,5.6,,
Gates County,2021,00,Not Seasonally Adjusted,4973,4753,220,4.4,,
Gates County,2022,00,Not Seasonally Adjusted,5130,4952,178,3.5,,
Graham County,2017,00,Not Seasonally Adjusted,3084,2874,210,6.8,,
Graham County,2018,00,Not Seasonally Adjusted,3135,2950,185,5.9,,
Graham County,2019,00,Not Seasonally Adjusted,3203,3032,171,5.3,,
Graham County,2020,00,Not Seasonally Adjusted,2982,2690,292,9.8,,
Graham County,2021,00,Not Seasonally Adjusted,3006,2798,208,6.9,,
Graham County,2022,00,Not Seasonally Adjusted,2947,2789,158,5.4,,
Granville County,2017,00,Not Seasonally Adjusted,29597,28467,1130,3.8,,
Granville County,2018,00,Not Seasonally Adjusted,29523,28505,1018,3.4,,
Granville County,2019,00,Not Seasonally Adjusted,29919,28920,999,3.3,,
Granville County,2020,00,Not Seasonally Adjusted,28842,27193,1649,5.7,,
Granville County,2021,00,Not Seasonally Adjusted,29237,28036,1201,4.1,,
Granville County,2022,00,Not Seasonally Adjusted,30300,29338,962,3.2,,
Greene County,2017,00,Not Seasonally Adjusted,9414,8997,417,4.4,,
Greene County,2018,00,Not Seasonally Adjusted,9390,9025,365,3.9,,
Greene County,2019,00,Not Seasonally Adjusted,9491,9141,350,3.7,,
Greene County,2020,00,Not Seasonally Adjusted,9211,8700,511,5.5,,
Greene County,2021,00,Not Seasonally Adjusted,9317,8924,393,4.2,,
Greene County,2022,00,Not Seasonally Adjusted,9558,9248,310,3.2,,
Guilford County,2017,00,Not Seasonally Adjusted,257106,244858,12248,4.8,,
Guilford County,2018,00,Not Seasonally Adjusted,258169,247259,10910,4.2,,
Guilford County,2019,00,Not Seasonally Adjusted,260375,249769,10606,4.1,,
Guilford County,2020,00,Not Seasonally Adjusted,251807,230764,21043,8.4,,
Guilford County,2021,00,Not Seasonally Adjusted,253775,239373,14402,5.7,,
Guilford County,2022,00,Not Seasonally Adjusted,260141,249479,10662,4.1,,
Halifax County,2017,00,Not Seasonally Adjusted,20276,18799,1477,7.3,,
Halifax County,2018,00,Not Seasonally Adjusted,19883,18664,1219,6.1,,
Halifax County,2019,00,Not Seasonally Adjusted,20212,19078,1134,5.6,,
Halifax County,2020,00,Not Seasonally Adjusted,19391,17646,1745,9.0,,
Halifax County,2021,00,Not Seasonally Adjusted,19136,17708,1428,7.5,,
Halifax County,2022,00,Not Seasonally Adjusted,19230,18163,1067,5.5,,
Harnett County,2017,00,Not Seasonally Adjusted,51830,49181,2649,5.1,,
Harnett County,2018,00,Not Seasonally Adjusted,52093,49623,2470,4.7,,
Harnett County,2019,00,Not Seasonally Adjusted,52861,50445,2416,4.6,,
Harnett County,2020,00,Not Seasonally Adjusted,51458,47678,3780,7.3,,
Harnett County,2021,00,Not Seasonally Adjusted,52926,50080,2846,5.4,,
Harnett County,2022,00,Not Seasonally Adjusted,55036,52781,2255,4.1,,
Haywood County,2017,00,Not Seasonally Adjusted,28538,27389,1149,4.0,,
Haywood County,2018,00,Not Seasonally Adjusted,29212,28209,1003,3.4,,
Haywood County,2019,00,Not Seasonally Adjusted,29646,28647,999,3.4,,
Haywood County,2020,00,Not Seasonally Adjusted,28035,25967,2068,7.4,,
Haywood County,2021,00,Not Seasonally Adjusted,28989,27737,1252,4.3,,
